Категория;Товар;Цена;Адрес;Видим;Рекомендуемый;Бренд;Вариант;"Старая цена";Артикул;Склад;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;"Вид товара";Размеры;Толщина
"Конструкционный пластик/Полиамид (PA)";"РА6 Полиамид пруток от 10 мм";17.87;ra6-poliamid-prutok-ot-10-mm;1;1;;;;;;"РА6 Полиамид пруток от 10 мм";"РА6 Полиамид пруток от 10 мм";;;"<p>Хорошая стойкость к растрескиванию и к химии<br />- Хорошая динамическая прочность при сгибании<br /> - Сопротивление к горячей воде<br /> - Сопротивление к морской воде<br /> - Атмосферостойкий (УФ)<br /> - UL листинг (HB)<br /> - Пригодность для стерилизации (гамма-лучей: 3 Мрад; окись этилена)<br /> - Низкая плотность (1,15 г / см3)<br /> - Свариваемость<br /> - Простота обработки<br /> - Сопротивление истиранию</p>
<p>Диаметр: от 10 мм до 200 мм</p>
<p>Длина: 1000 мм</p>
<p>Цвет: Белый/черный</p>";"poliamid_prutki.jpg, poliamid_prutki_chern.jpg";Пруток;;
"Конструкционный пластик/Полиамид (PA)";"РА6 Полиамид лист от 8 мм";2882.52;ra6-poliamid-list-ot-8-mm;1;1;;;;;;"РА6 Полиамид лист от 8 мм";"РА6 Полиамид лист от 8 мм";;;"<p>Хорошая стойкость к растрескиванию и к химии<br />- Хорошая динамическая прочность при сгибании<br /> - Сопротивление к горячей воде<br /> - Сопротивление к морской воде<br /> - Атмосферостойкий (УФ)<br /> - UL листинг (HB)<br /> - Пригодность для стерилизации (гамма-лучей: 3 Мрад; окись этилена)<br /> - Низкая плотность (1,15 г / см3)<br /> - Свариваемость<br /> - Простота обработки<br /> - Сопротивление истиранию</p>
<p>Толщина: от 8 мм до 70 мм</p>
<p>Размеры: 600 мм х 2000 мм и 1000 мм х 2000 мм</p>
<p>Цвет: Белый/Черный</p>
<p>&nbsp;</p>";"poliamid_listy.jpg, poliamid_listy_chern.jpg";Лист;;
"Конструкционный пластик/Полиамид (PA)";"РА6 Полиамид пруток черный д.10х1000";17.87;ra6-poliamid-prutok-d16h1000-486-617;1;0;;;;;;"РА6 Полиамид пруток черный д.10х1000";"РА6 Полиамид пруток черный д.10х1000";;;;;пруток;;
"Конструкционный пластик/Полиамид (PA)";"РА6 Полиамид пруток д.12х1000";24.61;ra6-poliamid-prutok-d16h1000-486-619;1;0;;;;;;"РА6 Полиамид пруток д.12х1000";"РА6 Полиамид пруток д.12х1000";;;;;пруток;;
"Конструкционный пластик/Полиамид (PA)";"РА6 Полиамид пруток черный д.12х1000";24.61;ra6-poliamid-prutok-chernyj-d15h1000-620;1;0;;;;;;"РА6 Полиамид пруток черный д.12х1000";"РА6 Полиамид пруток черный д.12х1000";;;;;пруток;;
"Конструкционный пластик/Полиамид (PA)";"РА6 Полиамид пруток д.15х1000";36.78;ra6-poliamid-prutok-d16h1000-486;1;0;;;;;;"РА6 Полиамид пруток д.15х1000";"РА6 Полиамид пруток д.15х1000";;;;;пруток;;
"Конструкционный пластик/Полиамид (PA)";"РА6 Полиамид пруток черный д.15х1000";36.78;ra6-poliamid-prutok-chernyj-d15h1000;1;0;;;;;;"РА6 Полиамид пруток черный д.15х1000";"РА6 Полиамид пруток черный д.15х1000";;;;;пруток;;
"Конструкционный пластик/Полиамид (PA)";"РА6 Полиамид пруток д.20х1000";60.94;ra6-poliamid-prutok-d20h1000-487;1;0;;;;;;;;;;;;пруток;;
"Конструкционный пластик/Полиамид (PA)";"РА6 Полиамид пруток черный д.20х1000";60.94;ra6-poliamid-prutok-chernyj-d20h1000;1;0;;;;;;"РА6 Полиамид пруток черный д.20х1000";"РА6 Полиамид пруток черный д.20х1000";;;;;пруток;;
"Конструкционный пластик/Полиамид (PA)";"РА6 Полиамид пруток д.25х1000";92.58;ra6-poliamid-prutok-d30h1000-488-621;1;0;;;;;;"РА6 Полиамид пруток д.25х1000";"РА6 Полиамид пруток д.25х1000";;;;;пруток;;
