Категория;Товар;Название товара;product_name_ua;Цена;Старая цена;Вариант;Ид группы;Код цвета;Артикул;Изображения;Цвет;Сырье;Производитель;Колір;Сировина;Виробник
Мужское/Аксессуары/сумки;Барсетка мужская 3585-1 черная;Барсетка мужская 3585-1;Барсетка чоловiча 3585-1;1954.15;2299;S;5;000000;5-1;536379_1.jpg,536379_2.jpg;черный;кожа;Турция;чорний;шкiра;Туреччина
Мужское/Аксессуары/сумки;Барсетка мужская 924-1 рыжая;Барсетка мужская 924-1;Барсетка чоловiча 924-1;1784.15;2099;M;7;7b4129;7-1;536430_1.jpg,536430_2.jpg;рыжий;кожа;Турция;рудий;шкiра;Туреччина
Мужское/Аксессуары/сумки;Барсетка мужская Z-117 коричневая;Барсетка мужская Z-117;Барсетка чоловiча Z-117;1699.15;1999;M;1;5D1B00;1-1;536251_1.jpg,536251_2.jpg;коричневый;кожа;Турция;коричневий;шкiра;Туреччина
Другое/браслеты;Браслет SKAZKA черный;Браслет SKAZKA;Браслет SKAZKA;254.15;299;;38661;000000;38661-1;414687_1.jpg;черный;каучук/металл;Турция;чорний;каучук/метал;Туреччина
Другое/браслеты;Браслет бант L красный;Браслет бант L;Браслет бант L;33.15;39;;38656;392C31;38656-1;412346_1.jpg;красный;;Турция;червоний;;Туреччина
Другое/браслеты;Браслет браслет/ожерелье голубой;Браслет браслет/ожерелье;Браслет браслет/намисто;126.65;149;;38664;52B6E7;38664-1;418184_1.jpg;голубой;кожа/камни;Турция;блакитний;шкiра/камни;Туреччина
Другое/браслеты;Браслет глаз/камни черный;Браслет глаз/камни;Браслет глаз/камни;126.65;149;;38649;000000;38649-1;404172_1.jpg;черный;;Турция;чорний;;Туреччина
Другое/браслеты;Браслет женский 2-сердечка голубой;Браслет женский 2-сердечка;Браслет жiночий 2-сердечка;33.15;39;;38593;104973;38593-2;416822_1.jpg;голубой;кожа/металл;Турция;блакитний;шкiра/метал;Туреччина
Другое/браслеты;Браслет женский 2-сердечка черный;Браслет женский 2-сердечка;Браслет жiночий 2-сердечка;33.15;39;;38593;000000;38593-1;416853_1.jpg;черный;кожа/металл;Турция;чорний;шкiра/метал;Туреччина
Другое/браслеты;Браслет женский MAKRAME коричневый;Браслет женский MAKRAME;Браслет жiночий MAKRAME;169.15;199;;38602;080408;38602-2;416964_1.jpg;коричневый;кожа/металл;Турция;коричневий;шкiра/метал;Туреччина
Другое/браслеты;Браслет женский MANGET черный коричневый белый;Браслет женский MANGET;Браслет жiночий MANGET;126.65;149;;38598;182439;38598-1;415971_1.jpg;черный коричневый белый;кожа/шнурок;Турция;чорний коричневий бiлий;шкiра/шнурок;Туреччина
Другое/браслеты;Браслет женский PANDORA EVRO синий;Браслет женский PANDORA EVRO;Браслет жiночий PANDORA EVRO;211.65;249;;38600;394194;38600-2;416061_1.jpg;синий;кожа/камни/магнит;Турция;синiй;шкiра/камни/магнит;Туреччина
Другое/браслеты;Браслет женский PANDORA EVRO черный;Браслет женский PANDORA EVRO;Браслет жiночий PANDORA EVRO;211.65;249;;38600;000000;38600-1;416052_1.jpg;черный;кожа/камни/магнит;Турция;чорний;шкiра/камни/магнит;Туреччина
Другое/браслеты;Браслет женский PANK LIVE красный;Браслет женский PANK LIVE;Браслет жiночий PANK LIVE;109.65;129;;38594;EF2021;38594-2;415858_1.jpg;красный;кожа/металл;Турция;червоний;шкiра/метал;Туреччина
Другое/браслеты;Браслет женский PANK LIVE сиреневый;Браслет женский PANK LIVE;Браслет жiночий PANK LIVE;109.65;129;;38594;312463;38594-3;415833_1.jpg;сиреневый;кожа/металл;Турция;бузковий;шкiра/метал;Туреччина
Другое/браслеты;Браслет женский кожа розовый;Браслет женский кожа;Браслет жiночий шкiра;24.65;29;;38592;FF8A94;38592-2;410393_1.jpg;розовый;кожа;Турция;рожевий;шкiра;Туреччина
Другое/браслеты;Браслет крестик красный;Браслет крестик;Браслет хрестик;126.65;149;;38655;A52821;38655-2;420039_1.jpg;красный;кожа/металл;Турция;червоний;шкiра/метал;Туреччина
Другое/браслеты;Браслет сердце резное красный;Браслет сердце резное;Браслет серце різьблене;169.15;199;;38668;B53439;38668-1;422185_1.jpg;красный;кожа/металл;Турция;червоний;шкiра/метал;Туреччина
